N,P,K,temperature,humidity,ph,rainfall,label
2.0,24.0,38.0,24.55981624,91.63536236,5.922935513,111.9684622,pomegranate
6.0,18.0,37.0,19.65690085,89.93701023,5.937649578,108.0458926,pomegranate
8.0,26.0,36.0,18.78359608,87.4024767,6.804781106,102.5184759,pomegranate
37.0,18.0,39.0,24.1469628,94.5110662,6.424670614,110.2316633,pomegranate
0.0,27.0,38.0,22.44581266,89.90147027,6.738016221,109.3905998,pomegranate
31.0,25.0,38.0,24.96273236,92.40501423,6.497366677,109.4169192,pomegranate
21.0,21.0,38.0,22.5526059,89.3259486,6.327673765,104.8955643,pomegranate
6.0,30.0,40.0,22.77035608,91.45498527,6.36137446,106.9659201,pomegranate
25.0,27.0,41.0,19.20090378,94.27659596,6.923509371,108.0423555,pomegranate
15.0,11.0,38.0,23.12808226,92.68328358,6.630646083,109.3930157,pomegranate
14.0,5.0,36.0,24.92639065,85.19098079,5.832525853,104.7693804,pomegranate
16.0,10.0,41.0,24.77464458,85.63608688,6.738993954,105.7595811,pomegranate
36.0,7.0,37.0,19.8671184,86.35590206,5.782435567,108.3168858,pomegranate
4.0,20.0,41.0,24.26601316,93.7974061,6.537042717,104.5375109,pomegranate
29.0,22.0,40.0,23.62600218,89.73266695,6.145104401,107.6836871,pomegranate
16.0,15.0,42.0,19.67832052,89.08935702,6.890784045,108.5468633,pomegranate
18.0,27.0,41.0,22.36509395,92.30882391,7.175344328,104.8216333,pomegranate
11.0,18.0,42.0,21.57936934,94.88267728,5.938528744,102.8593382,pomegranate
5.0,15.0,38.0,18.26233221,88.16779129,5.709380472,108.0756727,pomegranate
18.0,23.0,44.0,23.71028128,89.61794165,6.184400085,105.6499907,pomegranate
9.0,8.0,40.0,22.48720144,89.9224883,6.553509673,111.6631582,pomegranate
40.0,27.0,45.0,21.6602498,94.79397419,5.885638185,112.4349689,pomegranate
22.0,23.0,44.0,20.13037175,89.31505137,6.143874691,107.3416913,pomegranate
9.0,16.0,39.0,18.41164435,91.11927248,6.101198974,105.1834976,pomegranate
12.0,29.0,40.0,19.68291173,89.75272999,6.594037135,111.2818551,pomegranate
0.0,17.0,42.0,23.20242586,91.19442671,6.859840821,109.0946323,pomegranate
2.0,21.0,44.0,18.92157197,87.31290342,6.56893406,102.8013275,pomegranate
28.0,6.0,40.0,22.10621387,91.34039616,6.769855664,106.8704803,pomegranate
8.0,23.0,44.0,18.47412402,89.68919664,7.130837931,108.4758509,pomegranate
29.0,16.0,36.0,19.81069447,88.92944254,5.740338002,102.860084,pomegranate
17.0,18.0,43.0,24.4880844,90.83687246,5.843005428,103.1969341,pomegranate
34.0,21.0,42.0,18.75927679,89.93457597,6.648687274,111.0196744,pomegranate
21.0,23.0,42.0,19.54128063,90.29751796,6.902751061,104.3739878,pomegranate
25.0,17.0,40.0,18.91251245,87.74938524,6.608023872,111.2800516,pomegranate
8.0,25.0,36.0,19.91330523,94.95031368,6.828522375,104.0277061,pomegranate
26.0,18.0,42.0,19.72620525,89.64934166,6.910374919,108.2287276,pomegranate
4.0,19.0,42.0,23.83185873,87.84034604,6.306605528,111.2232716,pomegranate
36.0,24.0,41.0,24.94467632,94.25702672,7.009180374,103.8799347,pomegranate
5.0,24.0,40.0,24.692258,93.87030088,6.297907579,104.6735454,pomegranate
19.0,17.0,39.0,24.72485577,85.56083187,6.728599215,111.2787584,pomegranate
39.0,30.0,38.0,20.12644921,87.59629625,6.965156738,108.065579,pomegranate
5.0,29.0,44.0,21.02432943,93.0569505,5.578095745,104.7847006,pomegranate
4.0,24.0,43.0,22.40423537,88.1508343,7.199504273,109.8695196,pomegranate
38.0,21.0,35.0,20.33691147,89.38003827,5.841367187,110.9653137,pomegranate
37.0,11.0,36.0,24.24779615,85.56033312,6.710143266,106.9216033,pomegranate
9.0,25.0,41.0,24.81530144,91.90842992,5.972714857,109.2853418,pomegranate
29.0,22.0,43.0,19.66329768,87.95158129,5.561851831,106.0380805,pomegranate
5.0,21.0,38.0,22.43377991,90.3396556,6.107054808,112.459697,pomegranate
22.0,26.0,38.0,22.92052307,85.12912161,6.988035315,110.2437841,pomegranate
4.0,18.0,37.0,22.91843172,85.40695044,7.13147457,106.2817706,pomegranate
21.0,6.0,41.0,24.88244467,89.39686219,7.086947687,107.1951707,pomegranate
29.0,21.0,45.0,23.40981539,93.13277,6.749260456,105.2240743,pomegranate
23.0,5.0,44.0,21.20725375,94.26304717,7.16300467,107.5660804,pomegranate
13.0,7.0,43.0,18.20230419,91.12282162,7.013481515,109.6623974,pomegranate
5.0,13.0,37.0,22.34375696,89.7870345,5.648243649,103.3183074,pomegranate
27.0,24.0,41.0,24.32770134,90.88292835,6.610251186,110.4606459,pomegranate
7.0,23.0,35.0,19.75088482,88.71691157,7.054313823,102.5538035,pomegranate
12.0,20.0,39.0,19.86173586,86.19740917,6.026999326,111.0217929,pomegranate
4.0,19.0,43.0,18.07132963,93.14554876,5.779427402,106.3602023,pomegranate
3.0,9.0,45.0,23.89162561,89.61850203,6.535244251,104.617522,pomegranate
1.0,27.0,36.0,23.98598756,93.34236582,5.684995235,104.991282,pomegranate
23.0,30.0,44.0,20.93892916,85.42912869,6.12476108,103.0295938,pomegranate
24.0,21.0,42.0,20.82210727,87.22815682,6.999014379,109.4429934,pomegranate
13.0,30.0,37.0,20.86474944,91.61793636,6.277148771,106.8685636,pomegranate
40.0,11.0,44.0,24.45840036,86.10874614,6.322396027,111.3779693,pomegranate
21.0,9.0,40.0,24.51147697,90.64498715,5.956401828,105.6209954,pomegranate
3.0,27.0,44.0,24.56811204,92.03009222,6.591302797,110.9633894,pomegranate
40.0,29.0,42.0,24.63228709,89.01574455,7.104094929,110.6956184,pomegranate
14.0,25.0,40.0,20.07386547,90.97819712,6.407872061,103.7084055,pomegranate
38.0,14.0,37.0,21.80523051,94.63612858,6.658402594,102.6488846,pomegranate
34.0,9.0,36.0,22.8122645,86.34233767,6.276038961,110.4432293,pomegranate
32.0,14.0,37.0,22.73031253,88.48567856,6.825256236,104.6843243,pomegranate
18.0,21.0,35.0,23.2801227,94.94330457,6.368560522,111.1382096,pomegranate
8.0,23.0,38.0,19.30106297,87.1775172,7.005410734,105.4766591,pomegranate
15.0,6.0,41.0,19.0087067,88.83768149,6.897368477,108.6793978,pomegranate
0.0,5.0,36.0,24.35193812,90.88612388,6.152906502,105.529185,pomegranate
22.0,9.0,44.0,24.72235539,88.87651295,5.744361602,112.1926517,pomegranate
14.0,8.0,43.0,21.92513945,94.46485312,7.051654924,111.7162016,pomegranate
31.0,11.0,45.0,24.83954414,86.88738076,6.034612928,107.6435771,pomegranate
39.0,17.0,45.0,18.09691127,90.42177379,6.924490731,104.88189,pomegranate
10.0,5.0,42.0,20.24104904,91.08706822,6.887005997,109.2537734,pomegranate
8.0,28.0,38.0,23.22594,94.42971362,6.8444019,105.6917856,pomegranate
32.0,13.0,42.0,23.50128217,92.97527546,5.786058032,106.61905,pomegranate
18.0,9.0,40.0,19.44623085,89.02127045,5.627186257,106.1606833,pomegranate
20.0,27.0,41.0,20.51343484,92.51675903,5.700088663,110.5764023,pomegranate
39.0,25.0,36.0,18.90223032,94.99897537,5.567805185,107.6103211,pomegranate
20.0,7.0,45.0,18.90592319,89.24126808,6.077886012,112.4750941,pomegranate
11.0,10.0,45.0,22.63045168,88.45577158,6.397995609,109.0357597,pomegranate
40.0,18.0,43.0,19.38603815,86.79058496,5.767372539,109.9130984,pomegranate
3.0,26.0,39.0,24.38318965,91.19431555,7.079973241,103.6012114,pomegranate
9.0,16.0,36.0,23.77989026,92.93386903,5.893332378,106.977723,pomegranate
30.0,20.0,38.0,22.59890174,93.16343942,7.058222596,110.0932899,pomegranate
40.0,9.0,41.0,24.37766782,85.4017118,5.78270695,106.128338,pomegranate
40.0,30.0,35.0,20.89273273,91.07776977,6.269663963,104.4407083,pomegranate
32.0,25.0,35.0,18.09903225,85.70786282,5.892913826,107.0050976,pomegranate
33.0,23.0,45.0,20.00218987,85.83618191,7.116538883,112.337046,pomegranate
4.0,14.0,41.0,19.85139326,89.80732335,6.430163481,102.8186358,pomegranate
13.0,17.0,45.0,21.25433607,92.65058936,7.159520979,106.2784673,pomegranate
39.0,24.0,39.0,23.65374106,93.32657504,6.431265737,109.8076178,pomegranate
8.0,28.0,37.0,23.88404783,86.20613842,6.082571701,108.3121789,pomegranate
91.0,94.0,46.0,29.36792366,76.24900101,6.149934034,92.82840911,banana
105.0,95.0,50.0,27.33368994,83.67675197,5.849076099,101.0494791,banana
108.0,92.0,53.0,27.40053601,82.96221306,6.276800323,104.9378,banana
86.0,76.0,54.0,29.3159075,80.11585705,5.926824754,90.10978128,banana
80.0,77.0,49.0,26.05433004,79.39654531,5.519088423,113.2297373,banana
93.0,94.0,53.0,25.86632408,84.42379269,6.079178788,114.5357503,banana
90.0,92.0,55.0,27.00932084,80.18546798,6.13465588,97.32531705,banana
108.0,89.0,53.0,29.55054817,78.06762846,5.808497604,99.34482238,banana
108.0,88.0,55.0,26.28845991,83.390039,5.891458107,113.8729798,banana
105.0,77.0,52.0,29.16226551,76.16151562,5.816622479,100.0075679,banana
118.0,88.0,52.0,28.65003945,82.68752542,5.843163161,98.75084366,banana
101.0,87.0,54.0,29.07311132,76.50045221,6.376756633,100.1692639,banana
95.0,75.0,50.0,28.08166093,75.26429821,5.623615687,118.2761894,banana
106.0,85.0,53.0,27.1994597,78.8086068,5.91505509,99.72430835,banana
86.0,95.0,49.0,28.05484146,78.04602887,6.458714879,108.3957179,banana
83.0,79.0,55.0,25.14748006,83.34688193,5.565028635,98.66679427,banana
85.0,95.0,47.0,25.94019018,78.3422098,6.211833161,119.84797,banana
109.0,79.0,45.0,27.66752761,79.68542782,6.490074429,108.66464,banana
100.0,76.0,45.0,25.56703012,75.94067692,5.590236025,102.7867717,banana
117.0,86.0,48.0,28.6956201,82.54195839,6.225225239,116.1616839,banana
114.0,94.0,53.0,26.33544853,76.8532006,6.190757459,118.6858263,banana
110.0,78.0,50.0,25.93730186,78.89864446,5.915568968,98.21747528,banana
94.0,70.0,48.0,25.13686519,84.88394407,6.195152442,91.46442491,banana
80.0,71.0,47.0,27.50527651,80.79783998,6.156373499,105.0776992,banana
114.0,79.0,51.0,26.21009246,82.34429458,6.313197204,112.0700033,banana
88.0,78.0,45.0,29.10403455,79.19588629,6.324270089,92.07835761,banana
112.0,73.0,48.0,29.2440638,77.32017166,5.707488987,90.66727868,banana
117.0,76.0,47.0,25.56202173,77.38229006,6.119216009,93.10247183,banana
111.0,87.0,48.0,26.3985515,81.36028902,5.571401169,98.16752001,banana
89.0,83.0,47.0,28.09577643,77.79586769,5.63127166,109.5408614,banana
93.0,91.0,47.0,27.84767901,83.31110751,6.101241579,117.2878912,banana
92.0,81.0,52.0,27.39341554,81.4654833,6.438137279,94.31102057,banana
105.0,74.0,45.0,25.14517635,81.38204104,6.098369122,119.218154,banana
102.0,71.0,48.0,28.65456263,79.28693687,5.695267822,102.4633775,banana
94.0,91.0,51.0,29.16093424,76.67484233,5.618094446,109.575944,banana
116.0,71.0,47.0,27.57278064,82.0638878,6.435785799,91.34276507,banana
117.0,79.0,49.0,25.40909896,82.36208097,6.176644228,112.9794804,banana
119.0,72.0,55.0,25.99069521,83.33983116,6.220643671,112.0777152,banana
99.0,73.0,53.0,26.29039046,81.06003778,5.871702211,118.6730366,banana
91.0,84.0,52.0,29.14827211,78.71024836,6.390741836,117.536781,banana
80.0,90.0,47.0,26.59743595,79.35898915,6.21084479,107.3944717,banana
101.0,70.0,48.0,25.36059237,75.03193255,6.012696655,116.5531455,banana
108.0,89.0,53.0,29.12036889,80.18080728,5.908770059,112.3982055,banana
