,N,P,K,temperature,humidity,ph,rainfall,operation,label
0,40.0,145.0,205.0,23.99686172,94.92048112,6.499226821,124.9831618,max,apple
1,0.0,120.0,195.0,21.0365275,90.02575116,5.514253142,100.1173443,min,apple
2,20.8,134.22,199.89,22.630942413200003,92.3333828756,5.92966293181,112.65477927500001,mean,apple
3,24.0,136.5,200.0,22.628290274999998,92.41654112,5.8858183335,112.97923025,median,apple
4,11.823959576507763,8.112396064028529,3.3097454155446857,0.8246316381107167,1.4536647065536659,0.2680306370931329,7.079189727892006,std,apple
0,120.0,95.0,55.0,29.90888522,84.97849241,6.490074429,119.84797,max,banana
1,80.0,70.0,45.0,25.01018457,75.03193255,5.505393833,90.10978128,min,banana
2,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.983893180240001,104.6269804001,mean,banana
3,100.5,81.0,50.0,27.44333292,80.22359949,5.9944619555,105.0077496,median,banana
4,11.07003095227294,7.664575595787751,3.3712586099830157,1.4235738853872464,2.7960822113656087,0.2697431306639659,9.366664896526247,std,banana
0,40.0,145.0,205.0,41.94865736,83.98351748,6.499604931,74.91506217,max,grapes
1,0.0,120.0,195.0,8.825674745,80.01639435,5.510924849,65.01095312,min,grapes
2,23.18,132.53,200.11,23.84957512005,81.87522752119999,6.0259366811,69.611828886,mean,grapes
3,24.0,133.0,201.0,23.018527669999997,81.72464731,6.0017848975,69.53618599,median,grapes
4,12.42506367620945,7.593504088879263,3.254721294111239,9.70602334145088,1.173167817384379,0.2972662189457201,2.941870326996739,std,grapes
0,40.0,40.0,35.0,35.99009679,54.9640534,6.967417766,100.8124659,max,mango
1,0.0,15.0,25.0,27.00315545,45.02236377,4.507523551,89.29147581,min,mango
2,20.07,27.18,29.92,31.2087701513,50.15657269529999,5.76637279966,94.70451504479999,mean,mango
3,21.0,27.5,30.0,31.300223404999997,50.281614645000005,5.7433847105,94.905972905,median,mango
4,12.287733503328814,7.638198320192748,3.0863167644570386,2.6449670694048684,2.747051121189439,0.7012972577662773,3.327392783926828,std,mango
0,120.0,30.0,55.0,29.94349168,94.96218673,6.781050373,29.86681385,max,muskmelon
1,80.0,5.0,45.0,27.02415146,90.01506395,6.002927293,20.21126747,min,muskmelon
2,100.32,17.72,50.08,28.663065755999995,92.34280196089999,6.3588054517899995,24.689952066,mean,muskmelon
3,100.0,18.0,50.0,28.85177528,92.11111584,6.3530331845,24.721512304999997,median,muskmelon
4,12.135423148093254,7.163284312413421,3.2074745480811893,0.8584098633925457,1.5000745100732849,0.23074739501475597,2.7647060848419116,std,muskmelon
0,40.0,30.0,15.0,34.90665289,94.96419851,7.995848977,119.6946577,max,orange
1,0.0,5.0,5.0,10.01081312,90.00621688,6.010391864,100.1737964,min,orange
2,19.58,16.55,10.01,22.765725496699996,92.1702087634,7.01695745276,110.47496871999998,mean,orange
3,19.0,16.0,10.0,22.901055265,91.963246365,7.022614352,110.68407250000001,median,orange
4,11.901923624069232,7.6657274884006545,3.046446474238689,7.317936689989081,1.4255507464047312,0.5743902500371728,5.697972328288295,std,orange
0,70.0,70.0,55.0,43.67549305,94.94482086,6.993473247,248.8592986,max,papaya
1,31.0,46.0,45.0,23.0124018,90.03863107,6.501521192,40.35153141,min,papaya
2,49.88,59.05,50.04,33.7238587388,92.4033876826,6.74144237274,142.6278388629,mean,papaya
3,49.0,60.0,50.0,33.26287046,92.681085965,6.740830036,139.00069835,median,papaya
4,12.178669878110663,7.0336624902504274,3.0870968925643174,6.242040453995805,1.4156871801436346,0.1468569501309033,64.18084271792975,std,papaya
0,40.0,30.0,45.0,24.96273236,94.99897537,7.199504273,112.4750941,max,pomegranate
1,0.0,5.0,35.0,18.07132963,85.12912161,5.561851831,102.5184759,min,pomegranate
2,18.87,18.75,40.21,21.837841722,90.1255037895,6.4291718411700005,107.52844239699999,mean,pomegranate
3,18.0,20.0,40.0,22.354425454999998,89.911979285,6.430714609000001,107.58820075,median,pomegranate
4,12.575382066311638,7.362621406804313,3.0226403218130615,2.1989640020743746,2.816240106803296,0.48986207459486064,2.885639546826009,std,pomegranate
0,120.0,30.0,55.0,26.98603693,89.98405233,6.956508826,59.75980023,max,watermelon
1,80.0,5.0,45.0,24.04355803,80.02621335,6.000975617,40.12650421,min,watermelon
2,99.42,17.0,50.22,25.5917672375,85.1603752936,6.49577830157,50.78621894490001,mean,watermelon
3,99.0,17.5,50.5,25.603964945,85.03060460500001,6.4699260525,50.671902705,median,watermelon
4,12.523032959912314,7.510527728186139,3.2537500875308516,0.847276479834839,2.9466982019421106,0.28047687252776726,5.847351279699598,std,watermelon
